batter,bowler,Runs,Balls,Outs,StrikeRate
A Ashish Reddy,A Nehra,7,9,1,77.77777777777779
A Ashish Reddy,AB Dinda,9,7,0,128.57142857142858
A Ashish Reddy,AD Mathews,25,12,0,208.33333333333334
A Ashish Reddy,AD Russell,4,3,1,133.33333333333331
A Ashish Reddy,Anureet Singh,2,2,0,100.0
A Ashish Reddy,Azhar Mahmood,2,3,0,66.66666666666666
A Ashish Reddy,B Kumar,1,1,0,100.0
A Ashish Reddy,BW Hilfenhaus,2,2,1,100.0
A Ashish Reddy,CH Morris,11,5,0,220.00000000000003
A Ashish Reddy,DJ Bravo,24,13,1,184.6153846153846
A Ashish Reddy,Harbhajan Singh,11,8,0,137.5
A Ashish Reddy,Imran Tahir,2,2,0,100.0
A Ashish Reddy,J Botha,0,2,0,0.0
A Ashish Reddy,JEC Franklin,3,3,0,100.0
A Ashish Reddy,JP Duminy,1,1,0,100.0
A Ashish Reddy,JP Faulkner,2,2,0,100.0
A Ashish Reddy,KA Pollard,3,3,1,100.0
A Ashish Reddy,KK Cooper,8,5,0,160.0
A Ashish Reddy,M Kartik,6,8,0,75.0
A Ashish Reddy,M Morkel,5,5,1,100.0
A Ashish Reddy,MG Johnson,7,3,0,233.33333333333334
A Ashish Reddy,MM Patel,0,2,1,0.0
A Ashish Reddy,MM Sharma,7,2,0,350.0
A Ashish Reddy,MR Marsh,3,3,0,100.0
A Ashish Reddy,MS Gony,5,4,0,125.0
A Ashish Reddy,NM Coulter-Nile,0,1,1,0.0
A Ashish Reddy,P Awana,0,2,1,0.0
A Ashish Reddy,P Kumar,6,4,0,150.0
A Ashish Reddy,PP Chawla,2,2,0,100.0
A Ashish Reddy,PV Tambe,3,4,0,75.0
A Ashish Reddy,Parvez Rasool,18,9,0,200.0
A Ashish Reddy,R Vinay Kumar,14,11,2,127.27272727272727
A Ashish Reddy,RJ Peterson,7,5,0,140.0
A Ashish Reddy,RP Singh,1,2,1,50.0
A Ashish Reddy,SL Malinga,3,4,0,75.0
A Ashish Reddy,SMSM Senanayake,3,4,1,75.0
A Ashish Reddy,SP Narine,1,1,0,100.0
A Ashish Reddy,SR Watson,3,5,1,60.0
A Ashish Reddy,STR Binny,4,4,1,100.0
A Ashish Reddy,SW Tait,10,4,0,250.0
A Ashish Reddy,Sandeep Sharma,13,3,0,433.3333333333333
A Ashish Reddy,TG Southee,9,4,0,225.0
A Ashish Reddy,UT Yadav,20,10,0,200.0
A Ashish Reddy,YS Chahal,13,7,0,185.71428571428572
A Badoni,AD Russell,22,15,0,146.66666666666666
A Badoni,AR Patel,8,7,0,114.28571428571428
A Badoni,AS Joseph,5,4,0,125.0
A Badoni,Akash Madhwal,0,4,1,0.0
A Badoni,Arshdeep Singh,3,4,0,75.0
A Badoni,Avesh Khan,2,2,0,100.0
A Badoni,B Kumar,4,4,0,100.0
A Badoni,C Sakariya,13,5,1,260.0
A Badoni,CV Varun,18,16,0,112.5
A Badoni,DG Nalkande,2,1,0,200.0
A Badoni,DJ Bravo,5,5,0,100.0
A Badoni,DJ Willey,6,5,0,120.0
A Badoni,DL Chahar,21,7,0,300.0
A Badoni,G Coetzee,5,5,0,100.0
A Badoni,GJ Maxwell,3,4,0,75.0
A Badoni,Gurnoor Brar,11,5,0,220.00000000000003
A Badoni,HH Pandya,19,11,1,172.72727272727272
A Badoni,HV Patel,4,5,0,80.0
A Badoni,Harpreet Brar,2,3,0,66.66666666666666
A Badoni,Harshit Rana,7,7,0,100.0
A Badoni,I Sharma,10,11,0,90.9090909090909
A Badoni,JD Unadkat,4,6,0,66.66666666666666
A Badoni,JJ Bumrah,3,5,0,60.0
A Badoni,JO Holder,0,1,0,0.0
A Badoni,JR Hazlewood,3,9,2,33.33333333333333
A Badoni,K Rabada,8,8,1,100.0
A Badoni,KK Ahmed,12,6,0,200.0
A Badoni,KR Sen,2,2,0,100.0
A Badoni,KV Sharma,5,3,0,166.66666666666669
A Badoni,Kuldeep Yadav,8,8,0,100.0
A Badoni,LH Ferguson,15,12,0,125.0
A Badoni,LS Livingstone,6,2,1,300.0
A Badoni,M Pathirana,9,10,0,90.0
A Badoni,M Theekshana,26,12,0,216.66666666666666
A Badoni,MA Starc,0,2,0,0.0
A Badoni,MM Ali,6,8,0,75.0
A Badoni,MM Sharma,23,13,1,176.9230769230769
A Badoni,Mohammed Shami,16,11,0,145.45454545454547
A Badoni,Mohammed Siraj,18,18,0,100.0
A Badoni,Mukesh Choudhary,7,5,0,140.0
A Badoni,Mukesh Kumar,26,16,0,162.5
A Badoni,N Burger,0,1,1,0.0
A Badoni,N Thushara,4,3,0,133.33333333333331
A Badoni,Noor Ahmad,5,3,0,166.66666666666669
A Badoni,PJ Cummins,8,4,0,200.0
A Badoni,PP Chawla,2,4,0,50.0
A Badoni,PWH de Silva,1,2,0,50.0
A Badoni,R Ashwin,11,9,0,122.22222222222223
A Badoni,R Sai Kishore,1,2,1,50.0
A Badoni,R Shepherd,29,15,1,193.33333333333334
A Badoni,RA Jadeja,3,4,0,75.0
A Badoni,RD Chahar,12,9,0,133.33333333333331
A Badoni,RJW Topley,0,2,0,0.0
A Badoni,RP Meredith,9,4,1,225.0
A Badoni,RS Hangargekar,5,3,0,166.66666666666669
A Badoni,Rashid Khan,19,22,1,86.36363636363636
A Badoni,S Dube,7,4,0,175.0
A Badoni,SH Johnson,5,3,0,166.66666666666669
A Badoni,SM Curran,18,15,1,120.0
A Badoni,SN Thakur,10,3,0,333.33333333333337
A Badoni,SP Narine,30,31,3,96.7741935483871
A Badoni,Sandeep Sharma,4,4,0,100.0
A Badoni,Shivam Mavi,1,1,0,100.0
A Badoni,Suyash Sharma,1,1,0,100.0
A Badoni,T Natarajan,38,20,0,190.0
A Badoni,T Stubbs,2,3,1,66.66666666666666
A Badoni,TA Boult,5,11,2,45.45454545454545
A Badoni,TG Southee,3,6,1,50.0
A Badoni,TU Deshpande,12,10,1,120.0
A Badoni,V Viyaskanth,5,2,0,250.0
A Badoni,VG Arora,2,2,0,100.0
A Badoni,VR Aaron,2,3,1,66.66666666666666
A Badoni,WD Parnell,7,7,1,100.0
A Badoni,Washington Sundar,5,2,0,250.0
A Badoni,YS Chahal,1,2,1,50.0
A Badoni,Yash Dayal,0,1,1,0.0
A Chandila,R Rampaul,1,2,0,50.0
A Chandila,R Vinay Kumar,1,2,0,50.0
A Chandila,RP Singh,2,2,0,100.0
A Chandila,V Pratap Singh,0,1,1,0.0
A Chopra,DP Vijaykumar,1,5,0,20.0
A Chopra,DW Steyn,1,4,1,25.0
A Chopra,GD McGrath,2,4,0,50.0
A Chopra,Harmeet Singh,4,8,0,50.0
A Chopra,JR Hopes,1,2,1,50.0
A Chopra,PJ Sangwan,6,10,1,60.0
A Chopra,PP Chawla,1,1,0,100.0
A Chopra,PP Ojha,3,6,1,50.0
A Chopra,RP Singh,9,6,0,150.0
